Lock,Players,Contention,Time,Min,Max,Avg
TTAS,2,LOW,2677,999,1001,1000
TTAS,2,MEDIUM,2612,990,1010,1000
TTAS,2,HIGH,2995,996,1004,1000
TTAS,8,LOW,696,239,261,250
TTAS,8,MEDIUM,702,232,264,250
TTAS,8,HIGH,772,237,266,250
TTAS,16,LOW,345,110,139,125
TTAS,16,MEDIUM,353,113,134,125
TTAS,16,HIGH,693,100,141,125
CLH,2,LOW,2752,995,1005,1000
CLH,2,MEDIUM,2831,989,1011,1000
CLH,2,HIGH,3036,998,1002,1000
CLH,8,LOW,665,238,263,250
CLH,8,MEDIUM,706,236,261,250
CLH,8,HIGH,806,231,266,250
CLH,16,LOW,343,119,134,125
CLH,16,MEDIUM,344,115,135,125
CLH,16,HIGH,501,114,140,125
