Lock,Players,Contention,Time,Min,Max,Avg
TTAS,2,LOW,5140,979,1021,1000
TTAS,2,MEDIUM,2773,988,1012,1000
TTAS,2,HIGH,1453,999,1001,1000
TTAS,8,LOW,1317,235,261,250
TTAS,8,MEDIUM,684,239,263,250
TTAS,8,HIGH,357,228,263,250
TTAS,16,LOW,667,114,138,125
TTAS,16,MEDIUM,346,113,139,125
TTAS,16,HIGH,1053,77,163,125
CLH,2,LOW,5176,977,1023,1000
CLH,2,MEDIUM,2778,992,1008,1000
CLH,2,HIGH,1433,998,1002,1000
CLH,8,LOW,1345,236,260,250
CLH,8,MEDIUM,694,233,259,250
CLH,8,HIGH,339,233,263,250
CLH,16,LOW,656,113,132,125
CLH,16,MEDIUM,341,115,133,125
CLH,16,HIGH,243,113,135,125
